Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
부감 촬영,152,146,0,0,https://lolchess.gg/profile/KR/부감 촬영
협찰찰찰,152,152,0,0,https://lolchess.gg/profile/KR/협찰찰찰
hipii,152,107,0,0,https://lolchess.gg/profile/KR/hipii
안혁준2,151,145,0,0,https://lolchess.gg/profile/KR/안혁준2
금발태닝안정현,150,270,0,0,https://lolchess.gg/profile/KR/금발태닝안정현
꼬마 고고개미,150,162,0,0,https://lolchess.gg/profile/KR/꼬마 고고개미
최상의 폼,150,237,0,0,https://lolchess.gg/profile/KR/최상의 폼
던파정공,149,190,0,0,https://lolchess.gg/profile/KR/던파정공
꼬니는사랑입니다,149,84,0,0,https://lolchess.gg/profile/KR/꼬니는사랑입니다
싼타할매,149,202,0,0,https://lolchess.gg/profile/KR/싼타할매
엉망진창 보리님,149,183,0,0,https://lolchess.gg/profile/KR/엉망진창 보리님
mmaki,147,215,0,0,https://lolchess.gg/profile/KR/mmaki
심장이쿵했다,146,107,0,0,https://lolchess.gg/profile/KR/심장이쿵했다
팡윤승,146,84,0,0,https://lolchess.gg/profile/KR/팡윤승
차두라리스크,144,247,0,0,https://lolchess.gg/profile/KR/차두라리스크
허니비 YouTube,143,213,0,0,https://lolchess.gg/profile/KR/허니비 YouTube
초콜렛공장부사장,143,118,0,0,https://lolchess.gg/profile/KR/초콜렛공장부사장
Deception,143,141,0,0,https://lolchess.gg/profile/KR/Deception
여성청결제,141,180,0,0,https://lolchess.gg/profile/KR/여성청결제
꼬마 현누당,140,145,0,0,https://lolchess.gg/profile/KR/꼬마 현누당
꼬마 밥사,140,226,0,0,https://lolchess.gg/profile/KR/꼬마 밥사
아흑팡,139,278,0,0,https://lolchess.gg/profile/KR/아흑팡
영돌이,137,128,0,0,https://lolchess.gg/profile/KR/영돌이
시작하면muteall,137,217,0,0,https://lolchess.gg/profile/KR/시작하면muteall
민보배2,137,71,0,0,https://lolchess.gg/profile/KR/민보배2
KT 영어선생님,137,123,0,0,https://lolchess.gg/profile/KR/KT 영어선생님
경이보고배움,137,284,0,0,https://lolchess.gg/profile/KR/경이보고배움
혈통좋은사람,137,145,0,0,https://lolchess.gg/profile/KR/혈통좋은사람
Wonder la der la,136,125,0,0,https://lolchess.gg/profile/KR/Wonder la der la
fhfcpdnlgoaksems,136,170,0,0,https://lolchess.gg/profile/KR/fhfcpdnlgoaksems
Crimesays,135,174,0,0,https://lolchess.gg/profile/KR/Crimesays
TwTF 상로쿠,134,116,0,0,https://lolchess.gg/profile/KR/TwTF 상로쿠
aveugIe,133,163,0,0,https://lolchess.gg/profile/KR/aveugIe
참새현,133,228,0,0,https://lolchess.gg/profile/KR/참새현
연 장 점,133,300,0,0,https://lolchess.gg/profile/KR/연 장 점
보슬비,132,140,0,0,https://lolchess.gg/profile/KR/보슬비
겸댕뿌잉,132,75,0,0,https://lolchess.gg/profile/KR/겸댕뿌잉
명품서폿나재한,131,189,0,0,https://lolchess.gg/profile/KR/명품서폿나재한
TFT gooanil,130,290,0,0,https://lolchess.gg/profile/KR/TFT gooanil
가슴큰 여자가 짱,130,259,0,0,https://lolchess.gg/profile/KR/가슴큰 여자가 짱
